texto,movilidad,oido,vista
camino muy lento pero me molestan mucho los ruidos,0,2,1
tengo audicion nula y camino bien. de la vista ando bien.,1,0,1
no me funcionan los ojos y puedo andar sin problemas pero oido demasiado sensible.,1,2,0
hiperaudicion,1,2,1
me fallan las piernas,0,1,1
no escucho nada,1,0,1
uso gafas para leer,1,1,1
estoy postrado,0,1,1
"estoy postrado, por otro lado tengo audicion normal, necesito ambiente oscuro.",0,1,2
invalido aunque sin problemas de oido pero no veo casi nada.,0,1,0
necesito ambiente oscuro,1,1,2
sin problemas de oido pero luz solar me ciega pero mi movilidad es normal.,1,1,2
me molesta mucho la luz. de oido ando perfecto,1,1,2
tengo hiperactividad pero sin problemas de vista oigo muy mal.,2,0,1
de la vista ando bien,1,1,1
oido demasiado sensible no me funcionan los ojos,1,2,0
no soporto las luces brillantes,1,1,2
"uso gafas para leer, me cuesta mucho caminar",0,1,1
tengo tics motores ademas tengo hipersensibilidad auditiva,2,2,1
"diagnosticado de tdah, tengo vision normal pero de oido ando perfecto.",2,1,1
sin problemas de movilidad,1,1,1
camino con baston. todo ok con la vista,0,1,1
sin sentido del oido,1,0,1
"de la vista ando bien, hiperaudicion",1,2,1
puedo andar sin problemas y me molesta mucho la luz,1,1,2
mi agudeza visual es correcta ademas movilidad estandar y tengo hipersensibilidad auditiva.,1,2,1
sordo total. hipervision,1,0,2
sin problemas de oido,1,1,1
no me puedo quedar quieto,2,1,1
audicion sin problemas,1,1,1
sin problemas de movilidad ademas tengo vision normal,1,1,1
puedo andar sin problemas,1,1,1
sensible a pitidos aunque no me puedo quedar quieto y mi vista es normal.,2,2,1
mi agudeza visual es correcta tengo hiperacusia ademas ando bien de las piernas.,1,2,1
ando en silla de ruedas. no escucho nada y veo perfectamente.,0,0,1
necesidad de moverme siempre,2,1,1
veo destellos constantemente,1,1,2
camino con baston,0,1,1
"no me funcionan los oidos ademas ciego de nacimiento, por otro lado no tengo piernas.",0,0,0
tengo necesidad constante de moverme,2,1,1
no puedo andar,0,1,1
sordo total ademas tengo fotofobia,1,0,2
estoy postrado,0,1,1
"no puedo mover las piernas, por otro lado hiperaudicion, por otro lado mi vista es normal.",0,2,1
oigo genial ademas de la vista ando bien pero tengo hiperactividad.,2,1,1
camino perfectamente,1,1,1
necesito ambiente oscuro,1,1,2
tengo tdah y soy ciego parcialmente,2,1,0
tengo muy poca audicion,1,0,1
necesito espacio amplio,2,1,1
hipervision aunque dificultad severa para moverme no soporto el volumen alto.,0,2,2
ruido ambiental me agobia,1,2,1
veo lo estandar aunque me fallan las piernas aunque no tengo orejas.,0,0,1
camino bien,1,1,1
he perdido la vista y tengo audicion normal,1,1,0
ando con muletas pero veo lo estandar,0,1,1
tengo tics motores y el ruido fuerte me daña,2,2,1
ciego de nacimiento,1,1,0
"los sonidos agudos me dan dolor de cabeza, por otro lado hipermovilidad todo ok con la vista.",2,2,1
hiperaudicion pero me duelen los ojos,1,2,0
tengo audicion normal veo perfectamente,1,1,1
escucho cero,1,0,1
me cuesta mucho caminar,0,1,1
"me cuesta mucho caminar, por otro lado ojos sensibles pero orejas sensibles.",0,2,2
tengo tdah pero no oigo ni papa y toy ciego.,2,0,0
diagnosticado de tdah ademas no soporto el volumen alto,2,2,1
soy paraplejico,0,1,1
pantallas muy brillantes me duelen,1,1,2
dolor de ojos,1,1,0
"escucho cero, por otro lado no me puedo quedar quieto",2,0,1
"me muevo con normalidad, por otro lado mi vista es normal",1,1,1
luz solar me ciega y tengo movilidad muy reducida,0,1,2
necesito espacio amplio,2,1,1
todo ok con la vista pero inquietud motora extrema pero tengo muy poca audicion.,2,0,1
no tengo piernas pero orejas sensibles,0,2,1
no me puedo quedar quieto no soporto las luces brillantes,2,1,2
los sonidos agudos me dan dolor de cabeza,1,2,1
me muevo compulsivamente y no tengo ojos ademas audicion sin problemas.,2,1,0
invalido,0,1,1
no escucho nada. tengo ceguera total,1,0,0
"hipermovilidad aunque el ruido fuerte me daña, pantallas muy brillantes me duelen.",2,2,2
mi oido es normal veo bien,1,1,1
"camino perfectamente, por otro lado veo bien",1,1,1
no puedo caminar,0,1,1
los sonidos agudos me dan dolor de cabeza aunque no me puedo quedar quieto,2,2,1
no soporto estar atrapado y no escucho nada,2,0,1
sin problemas de movilidad ademas sin problemas de vista pero escucho cero.,1,0,1
escucho las conversaciones sin problema aunque ojos sensibles me muevo con normalidad.,1,1,2
soy hiperactivo pero el ruido fuerte me daña,2,2,1
no me puedo quedar quieto,2,1,1
"me molesta mucho la luz, ningun problema para caminar",1,1,2
camino bien aunque hipersensibilidad a la luz ademas sin problemas de oido.,1,1,2
ciego de nacimiento y ando con muletas,0,1,0
tengo muy poca audicion,1,0,1
no me puedo quedar quieto,2,1,1
no tengo orejas de la vista ando bien no me puedo quedar quieto.,2,0,1
me duele el ojo,1,1,0
hipervision ademas estoy postrado,0,1,2
sin problemas de movilidad,1,1,1
me molestan mucho los ruidos y uso baston para ciegos. sufro tdah.,2,2,0
audicion sin problemas,1,1,1
sensible a pitidos. puedo andar sin problemas,1,2,1
no puedo subir escaleras y escucho las conversaciones sin problema,0,1,1
no tengo problemas en los ojos tengo tics motores y oido demasiado sensible.,2,2,1
estoy inmovilizado,0,1,1
mi oido es normal,1,1,1
"mi agudeza visual es correcta, por otro lado no soporto el volumen alto ando con muletas.",0,2,1
he perdido la vista y sordo total ademas me fallan las piernas.,0,0,0
estoy inmovilizado,0,1,1
sin problemas de movilidad,1,1,1
"orejas sensibles, por otro lado hipervision",1,2,2
"invalido, tengo hipersensibilidad visual, escucho todo muy apagado.",0,0,2
tengo muy poca audicion ando bien de las piernas,1,0,1
audicion sin problemas tengo tdah,2,1,1
"no me funcionan los oidos, no me puedo quedar quieto",2,0,1
"mi agudeza visual es correcta, ningun problema para caminar",1,1,1
no soporto estar atrapado ademas todo ok con la vista,2,1,1
"de la vista ando bien, por otro lado sin problemas de movilidad aunque mi oido es normal.",1,1,1
"tengo hipersensibilidad auditiva, uso gafas para leer",1,2,1
"mi vista es normal aunque estoy inmovilizado, me molestan mucho los ruidos.",0,2,1
"audicion sin problemas, tengo hiperactividad de la vista ando bien.",2,1,1
"mi vista es normal, tengo hipersensibilidad auditiva",1,2,1
no tengo piernas de oido ando perfecto,0,1,1
toy sordo,1,0,1
soy sordo aunque toy ciego,1,0,0
me cuesta mucho caminar ademas sordo total,0,0,1
"necesidad de moverme siempre, por otro lado oigo genial",2,1,1
hipervision aunque soy paraplejico aunque el ruido fuerte me daña.,0,2,2
me molestan mucho los ruidos,1,2,1
de la vista ando bien,1,1,1
no soporto el volumen alto luz solar me ciega,1,2,2
veo bien y me muevo compulsivamente,2,1,1
"hipervision, no oigo ni papa",1,0,2
escucho los ruidos demasiado fuertes,1,2,1
"no veo en absoluto, por otro lado sensible a pitidos",1,2,0
dificultad severa para moverme aunque todo ok con la vista,0,1,1
me muevo con normalidad aunque la luz me deslumbra demasiado,1,1,2
me duele el ojo aunque escucho las conversaciones sin problema tengo tics motores.,2,1,0
hipersensibilidad a la luz,1,1,2
tengo tdah,2,1,1
vista de aguila no soporto estar atrapado,2,1,2
escucho las conversaciones sin problema aunque veo todo muy borroso,1,1,0
"el ruido fuerte me daña ademas movilidad estandar, por otro lado me molesta mucho la luz.",1,2,2
"la luz me deslumbra demasiado, por otro lado necesito espacio amplio",2,1,2
no me funcionan los ojos ademas no tengo piernas,0,1,0
veo destellos constantemente pero no oigo ni papa pero ando bien de las piernas.,1,0,2
"todo ok con la vista, por otro lado sin problemas de movilidad",1,1,1
sin problemas de vista estoy inmovilizado,0,1,1
tengo muy poca vision,1,1,0
me duele el ojo pero soy paraplejico y orejas sensibles.,0,2,0
puedo andar sin problemas,1,1,1
sin problemas de oido aunque no soporto estar atrapado,2,1,1
no me funcionan los oidos y me fallan las piernas,0,0,1
camino con mueletas,0,1,1
ciego de nacimiento y no soporto estar atrapado,2,1,0
hipersensibilidad a la luz,1,1,2
no me puedo quedar quieto aunque escucho las conversaciones sin problema,2,1,1
vista de aguila y ando bien de las piernas pero tengo muy poca audicion.,1,0,2
orejas sensibles,1,2,1
veo perfectamente,1,1,1
estoy postrado,0,1,1
mi oido es normal,1,1,1
no distingo formas ni colores ademas sin problemas de movilidad,1,1,0
ando bien de las piernas,1,1,1
ando en silla de ruedas,0,1,1
ningun problema para caminar,1,1,1
me duelen los ojos no puedo caminar,0,1,0
no puedo caminar,0,1,1
"tengo tdah, por otro lado sensible a pitidos",2,2,1
escucho cero aunque toy ciego,1,0,0
"me muevo con normalidad ademas tengo muy poca audicion, hipersensibilidad a la luz.",1,0,2
no veo en absoluto ademas tengo hipersensibilidad auditiva y tengo tdah.,2,2,0
orejas sensibles,1,2,1
"movilidad estandar, no oigo ni papa. uso gafas para leer.",1,0,1
me molestan mucho los ruidos pero tengo necesidad constante de moverme ademas veo todo muy borroso.,2,2,0
no soporto el volumen alto pero luz solar me ciega,1,2,2
tengo hipersensibilidad visual. oigo muy mal ademas necesidad de moverme siempre.,2,0,2
"oigo genial. llevo lentillas y veo bien, por otro lado tengo necesidad constante de moverme.",2,1,1
invalido ademas tapon en el oido,0,0,1
escucho las conversaciones sin problema y estoy inmovilizado ademas tengo vision nula.,0,1,0
"la luz me deslumbra demasiado, me muevo con normalidad",1,1,2
no oigo nada. soy hiperactivo,2,0,1
soy paralitico pero sin sentido del oido ademas luz solar me ciega.,0,0,2
me muevo con normalidad y hiperaudicion aunque veo bien.,1,2,1
"audicion sin problemas, por otro lado veo muy mal aunque ando bien de las piernas.",1,1,0
vista de aguila,1,1,2
dificultad severa para moverme,0,1,1
"no soporto las luces brillantes, no tengo orejas",1,0,2
mi oido es normal,1,1,1
ruido ambiental me agobia. veo bien,1,2,1
no me puedo quedar quieto ademas soy tuerto,2,1,0
tengo movilidad muy reducida,0,1,1
estoy postrado,0,1,1
tengo ceguera total,1,1,0
ando cojo los brillos me hacen daño en los ojos,0,1,2
mi agudeza visual es correcta aunque soy paralitico,0,1,1
"necesito espacio amplio, por otro lado sin problemas de oido",2,1,1
escucho cero pero tengo hipersensibilidad visual. diagnosticado de tdah.,2,0,2
sordo total,1,0,1
oigo genial,1,1,1
sin problemas de vista pero soy hiperactivo,2,1,1
"hipersensibilidad a la luz, por otro lado soy hiperactivo",2,1,2
"no tengo piernas, por otro lado escucho los ruidos demasiado fuertes, por otro lado no veo nada.",0,2,0
"no tengo problemas en los ojos, por otro lado sin problemas de movilidad, tengo hiperacusia.",1,2,1
"hipermovilidad pero mi agudeza visual es correcta, escucho cero.",2,0,1
tengo tics motores y uso lenguaje de senas de la vista ando bien.,2,0,1
"el ruido fuerte me daña, todo ok con la vista soy paraplejico.",0,2,1
"necesito ambiente oscuro, por otro lado no escucho nada",1,0,2
veo bien. tengo tics motores,2,1,1
oigo genial,1,1,1
los sonidos agudos me dan dolor de cabeza sin problemas de movilidad,1,2,1
mi vista es normal,1,1,1
soy tuerto,1,1,0
tengo movilidad muy reducida ademas uso lenguaje de senas soy ciego parcialmente.,0,0,0
oido demasiado sensible pero estoy postrado,0,2,1
tengo movilidad muy reducida,0,1,1
no tengo problemas en los ojos y sin problemas de oido,1,1,1
me molesta mucho la luz,1,1,2
oigo genial,1,1,1
me molesta mucho la luz no me puedo quedar quieto aunque escucho los ruidos demasiado fuertes.,2,2,2
mi vista es normal,1,1,1
no soporto el volumen alto,1,2,1
oigo genial ademas soy paraplejico. me duelen los ojos.,0,1,0
no tengo orejas. tengo hipersensibilidad visual,1,0,2
sin problemas de oido,1,1,1
escucho los ruidos demasiado fuertes,1,2,1
de oido ando perfecto,1,1,1
invalido y uso baston para ciegos aunque escucho cero.,0,0,0
dolor de ojos,1,1,0
sin problemas de oido,1,1,1
tengo tics motores,2,1,1
mi agudeza visual es correcta pero tengo tics motores,2,1,1
camino con mueletas,0,1,1
mi agudeza visual es correcta ademas camino perfectamente,1,1,1
tengo ceguera total ademas soy paralitico,0,1,0
"tengo tics motores, he perdido la vista, por otro lado escucho las conversaciones sin problema.",2,1,0
la luz me deslumbra demasiado,1,1,2
"de la vista ando bien, por otro lado audicion sin problemas",1,1,1
mi oido es normal,1,1,1
escucho las conversaciones sin problema,1,1,1
"vista de aguila, me cuesta mucho caminar",0,1,2
"no me puedo quedar quieto soy sordo, por otro lado sin problemas de vista.",2,0,1
llevo lentillas y veo bien,1,1,1
hipervision,1,1,2
escucho perfectamente aunque mi vista es normal,1,1,1
escucho perfectamente,1,1,1
uso gafas para leer no escucho nada. camino perfectamente.,1,0,1
no soporto las luces brillantes. de oido ando perfecto,1,1,2
"movilidad estandar, por otro lado sensible a pitidos",1,2,1
no soporto estar atrapado ademas veo perfectamente,2,1,1
hipermovilidad,2,1,1
hipervision,1,1,2
"veo perfectamente, por otro lado me muevo con normalidad",1,1,1
de oido ando perfecto,1,1,1
oigo muy mal no veo casi nada,1,0,0
"necesito espacio amplio, llevo lentillas y veo bien",2,1,1
tengo movilidad muy reducida y oigo bien,0,1,1
no tengo orejas,1,0,1
no tengo problemas en los ojos,1,1,1
no oigo nada y tengo fotofobia pero no puedo subir escaleras.,0,0,2
"hiperaudicion aunque perdi el ojo, por otro lado sufro tdah.",2,2,0
"no me funcionan los ojos, ando bien de las piernas y sin problemas de oido.",1,1,0
me muevo con normalidad,1,1,1
mi movilidad es normal,1,1,1
veo perfectamente,1,1,1
camino perfectamente,1,1,1
orejas sensibles pero vista de aguila,1,2,2
necesito espacio amplio ademas tengo ceguera total,2,1,0
no escucho nada,1,0,1
sin problemas de oido aunque no puedo mover las piernas,0,1,1
"hiperaudicion, mi movilidad es normal",1,2,1
inquietud motora extrema. veo bien. tengo hiperacusia.,2,2,1
"hipervision, ruido ambiental me agobia. voy en silla.",0,2,2
"escucho los ruidos demasiado fuertes, me muevo compulsivamente no soporto las luces brillantes.",2,2,2
no puedo andar y escucho las conversaciones sin problema,0,1,1
no oigo nada ademas tengo dolor ocular,1,0,0
mi movilidad es normal pero uso lenguaje de senas pero soy tuerto.,1,0,0
"hiperaudicion, por otro lado luz solar me ciega aunque no me puedo quedar quieto.",2,2,2
uso gafas para leer y orejas sensibles aunque invalido.,0,2,1
oigo bien,1,1,1
escucho cero no me puedo quedar quieto pero me molesta mucho la luz.,2,0,2
me molestan mucho los ruidos,1,2,1
no veo casi nada y tengo hipersensibilidad auditiva,1,2,0
"movilidad estandar hipersensibilidad a la luz, tengo sordera profunda.",1,0,2
no soporto las luces brillantes,1,1,2
sin problemas de vista no soporto estar atrapado,2,1,1
soy paralitico aunque escucho los ruidos demasiado fuertes,0,2,1
ando con muletas. de la vista ando bien,0,1,1
tengo muy poca audicion aunque tengo tdah ademas tengo hipersensibilidad visual.,2,0,2
de oido ando perfecto,1,1,1
los sonidos agudos me dan dolor de cabeza y necesidad de moverme siempre ciego de nacimiento.,2,2,0
sufro tdah,2,1,1
veo lo estandar y no me puedo quedar quieto pero el ruido fuerte me daña.,2,2,1
sensible a pitidos,1,2,1
audicion sin problemas,1,1,1
"escucho las conversaciones sin problema, necesito ambiente oscuro",1,1,2
me duelen los ojos y mi oido es normal,1,1,0
"mi agudeza visual es correcta, toy sordo",1,0,1
ciego de nacimiento,1,1,0
no me funcionan los oidos pero camino perfectamente,1,0,1
movilidad estandar,1,1,1
"veo destellos constantemente inquietud motora extrema, uso lenguaje de senas.",2,0,2
diagnosticado de tdah y no veo en absoluto,2,1,0
no soporto estar atrapado ademas veo perfectamente pero tengo hiperacusia.,2,2,1
oido demasiado sensible. me muevo con normalidad tengo hipersensibilidad visual.,1,2,2
"oido demasiado sensible, estoy inmovilizado",0,2,1
sensible a pitidos. puedo andar sin problemas,1,2,1
tengo vision normal,1,1,1
escucho las conversaciones sin problema,1,1,1
sin problemas de oido. necesidad de moverme siempre ademas me duelen los ojos.,2,1,0
orejas sensibles aunque no distingo formas ni colores,1,2,0
orejas sensibles,1,2,1
no tengo piernas y escucho los ruidos demasiado fuertes,0,2,1
no soporto las luces brillantes y camino muy lento,0,1,2
no puedo mover las piernas. pantallas muy brillantes me duelen,0,1,2
sin problemas de movilidad ademas tengo hipersensibilidad auditiva y luz solar me ciega.,1,2,2
tengo ceguera total pero tengo audicion normal y tengo hiperactividad.,2,1,0
me molesta mucho la luz,1,1,2
ando con muletas pero escucho perfectamente,0,1,1
diagnosticado de tdah,2,1,1
no me puedo quedar quieto y oido demasiado sensible,2,2,1
soy ciego parcialmente de oido ando perfecto pero camino perfectamente.,1,1,0
veo perfectamente y oigo muy mal,1,0,1
escucho las conversaciones sin problema aunque camino con baston,0,1,1
"sin problemas de movilidad, veo perfectamente",1,1,1
veo muy mal aunque mi oido es normal,1,1,0
tengo hiperactividad. tengo fotofobia,2,1,2
casi no tengo vista y diagnosticado de tdah,2,1,0
"audicion sin problemas, por otro lado no tengo piernas pero dolor de ojos.",0,1,0
veo muy mal ademas no soporto el volumen alto pero no soporto estar atrapado.,2,2,0
oigo genial,1,1,1
estoy inmovilizado y tengo muy poca vision. me molestan mucho los ruidos.,0,2,0
"tengo muy poca vision, por otro lado audicion sin problemas",1,1,0
me cuesta mucho caminar,0,1,1
no tengo piernas ademas me molesta mucho la luz tengo hipersensibilidad auditiva.,0,2,2
necesito ambiente oscuro y escucho todo muy apagado camino bien.,1,0,2
"no tengo piernas, pantallas muy brillantes me duelen, por otro lado de oido ando perfecto.",0,1,2
escucho las conversaciones sin problema,1,1,1
he perdido la vista pero soy hiperactivo,2,1,0
me muevo con normalidad aunque sin sentido del oido ademas necesito ambiente oscuro.,1,0,2
tengo audicion nula pero ando en silla de ruedas,0,0,1
"no me puedo quedar quieto, tengo hiperacusia",2,2,1
"veo muy mal, tengo hiperacusia",1,2,0
no me funcionan los ojos ademas tengo hiperactividad,2,1,0
camino con mueletas ademas oido demasiado sensible,0,2,1
no me funcionan los oidos sin problemas de vista aunque movilidad estandar.,1,0,1
tapon en el oido. uso gafas para leer ademas no puedo mover las piernas.,0,0,1
"no tengo ojos ademas necesidad de moverme siempre, escucho las conversaciones sin problema.",2,1,0
sin problemas de movilidad,1,1,1
"hiperaudicion ningun problema para caminar, uso gafas para leer.",1,2,1
tengo tics motores ademas llevo lentillas y veo bien,2,1,1
pantallas muy brillantes me duelen,1,1,2
camino perfectamente,1,1,1
tengo tdah aunque todo ok con la vista y sin sentido del oido.,2,0,1
"tengo muy poca audicion y camino perfectamente, por otro lado tengo hipersensibilidad visual.",1,0,2
"necesito ambiente oscuro pero tengo audicion nula, tengo tics motores.",2,0,2
"de oido ando perfecto. mi movilidad es normal, hipersensibilidad a la luz.",1,1,2
los sonidos agudos me dan dolor de cabeza,1,2,1
tengo hiperactividad,2,1,1
casi no tengo vista,1,1,0
veo destellos constantemente,1,1,2
de oido ando perfecto,1,1,1
